icd_code;disease_type_pl;disease_type_en;icd_disease_details;disease_pl_details;disease_en_details
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.3;Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.3;Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.3;Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.3;Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.5;Gruźlicze zapalenie opłucnej, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculous pleurisy, without mention of bacteriological or histological confirmation
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.5;Gruźlicze zapalenie opłucnej, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.5;Gruźlicze zapalenie opłucnej, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.5;Gruźlicze zapalenie opłucnej, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.7;Pierwotna gruźlica układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.7;Pierwotna gruźlica układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.7;Pierwotna gruźlica układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.9;Gruźlica układu oddechowego, nieokreślona, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.9;Gruźlica układu oddechowego, nieokreślona, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A16.9;Gruźlica układu oddechowego, nieokreślona, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.0†;Gruźlicze zapalenie opon mózgowo-rdzeniowych (G01*);Tuberculous meningitis (G01*)
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.0†;Gruźlicze zapalenie opon mózgowo-rdzeniowych (G01*);
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.0†;Gruźlicze zapalenie opon mózgowo-rdzeniowych (G01*);
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.1†;Gruźliczak opon mózgowo-rdzeniowych (G07*);Meningeal tuberculoma (G07*)
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.1†;Gruźliczak opon mózgowo-rdzeniowych (G07*);
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;Other tuberculosis of nervous system
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.8†;Inne postacie gruźlicy układu nerwowego;
A17†;Gruźlica układu nerwowego;Tuberculosis of nervous system;A17.9†;Gruźlica układu nerwowego, nieokreślona (G99.8*);Tuberculosis of nervous system, unspecified (G99.8*)
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;Tuberculosis of bones and joints
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.0†;Gruźlica kości i stawów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;Tuberculosis of genitourinary system
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.1;Gruźlica układu moczowo-płciowego;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.2;Gruźlicza limfadenopatia obwodowa;Tuberculous peripheral lymphadenopathy
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.2;Gruźlicza limfadenopatia obwodowa;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;Tuberculosis of intestines, peritoneum and mesenteric glands
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;Tuberculosis of skin and subcutaneous tissue
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.4;Gruźlica skóry i tkanki podskórnej;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;Tuberculosis of eye
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.5;Gruźlica oka;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.6;Gruźlica ucha;Tuberculosis of ear
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.6;Gruźlica ucha;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.7†;Gruźlica nadnerczy (E35.1*);Tuberculosis of adrenal glands (E35.1*)
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.7†;Gruźlica nadnerczy (E35.1*);
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;Tuberculosis of other specified organs
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A18;Gruźlica innych narządów;Tuberculosis of other organs;A18.8;Gruźlica innych określonych narządów;
A19;Gruźlica prosówkowa;Miliary tuberculosis;A19.0;Gruźlica prosówkowa ostra o pojedynczej określonej lokalizacji;Acute miliary tuberculosis of a single specified site
A19;Gruźlica prosówkowa;Miliary tuberculosis;A19.1;Gruźlica prosówkowa ostra o wielomiejscowej lokalizacji;Acute miliary tuberculosis of multiple sites
A19;Gruźlica prosówkowa;Miliary tuberculosis;A19.2;Gruźlica prosówkowa ostra, nieokreślona;Acute miliary tuberculosis, unspecified
A19;Gruźlica prosówkowa;Miliary tuberculosis;A19.8;Inne postacie gruźlicy prosówkowej;Other miliary tuberculosis
A19;Gruźlica prosówkowa;Miliary tuberculosis;A19.9;Gruźlica prosówkowa, nieokreślona;Miliary tuberculosis, unspecified
A20;Choroba zakaźna wywołana przez Yersinia pestis [dżuma];Plague;A20.0;Dżuma dymienicza;Bubonic plague
A20;Choroba zakaźna wywołana przez Yersinia pestis [dżuma];Plague;A20.1;Dżuma skóry i tkanki podskórnej;Cellulocutaneous plague
A20;Choroba zakaźna wywołana przez Yersinia pestis [dżuma];Plague;A20.2;Dżuma płucna;Pneumonic plague
A20;Choroba zakaźna wywołana przez Yersinia pestis [dżuma];Plague;A20.3;Zapalenie opon mózgowo-rdzeniowych wywołane przez Yersinia pestis;Plague meningitis
