ID,ADRESS,CORD
70000965,"STĘPIŃSKA 19/25, 00739, WARSZAWA","52.20512489999999, 21.0374459"
70000978,"MARII KONOPNICKIEJ 65, 05092, DZIEKANÓW LEŚNY","52.33983360000001, 20.8485282"
09R/010032,"UL. KSIĘCIA JÓZEFA PONIATOWSKIEGO 4, 35026, RZESZÓW","50.0338579, 21.9969207"
125/100597,"UL. MIODOWA 14, 42400, ZAWIERCIE","50.4814984, 19.4087857"
125/110545,"UL. SZPITALNA 40, 41250, CZELADŹ","50.3263769, 19.0760358"
126/100372,"UL. MARII CURIE-SKŁODOWSKIEJ 10, 41800, ZABRZE","50.3140762, 18.7811384"
130002065,"GENERAŁA TADEUSZA KOŚCIUSZKI 25, 25316, KIELCE","50.8745018, 20.6390285"
130003276,"ARMII KRAJOWEJ 22, 28400, PIŃCZÓW","50.5176242, 20.5298754"
121/100685,"UL. ALFREDA SOKOŁOWSKIEGO 2, 40749, KATOWICE","50.197485, 19.0417796"
121/200436,"UL. PAPROCAŃSKA 137D, 43100, TYCHY","50.0996497, 18.9958765"
122/202444,"UL. DWORCOWA 22, 34300, ŻYWIEC","49.6846519, 19.18976"
123/100404,"UL. 11 LISTOPADA 5C, 42100, KŁOBUCK","50.9065932, 18.9374642"
140001866,"WOJSKA POLSKIEGO 39, 10295, OLSZTYN","53.79143070000001, 20.4826665"
140003162,"KOPERNIKA 24A, 14400, PASŁĘK","54.0623946, 19.6648944"
140003247,"BUDOWLANA 3A, 10424, OLSZTYN","53.7842288, 20.5299928"
140003669,"WOJSKA POLSKIEGO 80, 10290, OLSZTYN","53.7837135, 20.4819539"
150000026,"SZWAJCARSKA 3, 61285, POZNAŃ-NOWE MIASTO","52.3902484, 16.995111"
150000031,"RYDYGIERA LUDWIKA 1, 64920, PIŁA","53.121648, 16.7185274"
150001253,"PL.K. MARCINKOWSKIEGO 8/9, 63800, GOSTYŃ","51.8826434, 17.0106595"
150001592,"SZPITALNA 7, 64000, KOŚCIAN","52.0846576, 16.6482367"
